Name,Created,Tags,URL
Fiction Books(no real order),"September 1, 2023 10:10 PM",,
Non-Fiction Books,"September 1, 2023 10:10 PM",,
Songs/Artists,"September 1, 2023 10:10 PM",,
Movies,"September 1, 2023 10:10 PM",,
TV Shows,"September 1, 2023 10:17 PM",,
Words,"October 9, 2023 2:30 PM",,
Videos,"November 18, 2023 8:02 PM",,
"""Shia LaBeouf"" Live - Rob Cantor - YouTube","February 10, 2024 4:54 PM",,https://www.youtube.com/watch?v=o0u4M6vppCI
Intentionally Making Close Friends — LessWrong,"December 27, 2023 11:07 PM",,https://www.lesswrong.com/posts/pfibDHFZ3waBo6pAc/intentionally-making-close-friends#The_Problem
Articles,"February 20, 2024 10:11 PM",,
Poems,"April 13, 2024 5:24 PM",,
Podcast Episodes,"May 15, 2024 9:09 PM",,
Mathematical objects,"June 23, 2024 10:05 PM",,
Paintings,"December 8, 2024 12:26 AM",,
Just random shit,"February 21, 2025 9:42 PM",,
,"February 21, 2025 9:42 PM",,